# report v0.1.0 (Mar 6, 2023)
# Database: MetaSBT-Viruses
# Timestamp: 2023-03-30 17:10:30.520239
# Cluster	Lineage	MAGs	Reference genomes	Bloom Filter Density	Mean completeness	Mean contamination	Mean strain heterogeneity
MSBT827	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Methanobavirales|f__Leisingerviridae|g__Psimunavirus|s__Methanothermobacter_phage_psiM100	0	1	0.016854	0.0	0.0	0.0
MSBT3032	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Suoliviridae|g__Birpovirus|s__Birpovirus_hominis	0	1	0.077793	0.0	0.0	0.0
MSBT3043	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Suoliviridae|g__Culoivirus|s__Culoivirus_faecalis	0	1	0.078043	0.0	0.0	0.0
MSBT3033	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Suoliviridae|g__Blohavirus|s__Blohavirus_faecalis	0	1	0.077971	0.0	0.0	0.0
MSBT3039	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Suoliviridae|g__Canhaevirus|s__Canhaevirus_faecalis	0	1	0.078304	0.0	0.0	0.0
MSBT3036	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Suoliviridae|g__Buchavirus|s__Buchavirus_intestinalis	0	1	0.080186	0.0	0.0	0.0
MSBT3035	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Suoliviridae|g__Buchavirus|s__Buchavirus_hiberniae	0	1	0.082337	0.0	0.0	0.0
MSBT3037	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Suoliviridae|g__Buchavirus|s__Buchavirus_oralis	0	1	0.08039	0.0	0.0	0.0
MSBT3034	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Suoliviridae|g__Bohxovirus|s__Bohxovirus_oralis	0	1	0.076632	0.0	0.0	0.0
MSBT3038	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Suoliviridae|g__Burzaovirus|s__Burzaovirus_intestinihominis	0	1	0.086434	0.0	0.0	0.0
MSBT3042	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Suoliviridae|g__Cohcovirus|s__Cohcovirus_splanchnicus	0	1	0.078243	0.0	0.0	0.0
MSBT3031	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Suoliviridae|g__Aurodevirus|s__Aurodevirus_hiberniae	0	1	0.077221	0.0	0.0	0.0
MSBT3029	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Suoliviridae|g__Afonbuvirus|s__Afonbuvirus_coli	0	1	0.074821	0.0	0.0	0.0
MSBT3030	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Suoliviridae|g__Afonbuvirus|s__Afonbuvirus_intestinihominis	0	1	0.073524	0.0	0.0	0.0
MSBT3048	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Intestiviridae|g__Endlipuvirus|s__Endlipuvirus_intestinihominis	0	1	0.054834	0.0	0.0	0.0
MSBT3044	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Intestiviridae|g__Dabirmavirus|s__Dabirmavirus_hominis	0	1	0.060471	0.0	0.0	0.0
MSBT3059	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Intestiviridae|g__Whopevirus|s__Whopevirus_animalis	0	1	0.064233	0.0	0.0	0.0
MSBT3040	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Intestiviridae|g__Carjivirus|s__Carjivirus_communis	0	1	0.066776	0.0	0.0	0.0
MSBT3041	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Intestiviridae|g__Carjivirus|s__Carjivirus_hominis	0	1	0.067294	0.0	0.0	0.0
MSBT3046	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Intestiviridae|g__Diorhovirus|s__Diorhovirus_copri	0	1	0.068791	0.0	0.0	0.0
MSBT3045	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Intestiviridae|g__Delmidovirus|s__Delmidovirus_copri	0	1	0.067537	0.0	0.0	0.0
MSBT3049	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Intestiviridae|g__Jahgtovirus|s__Jahgtovirus_gastrointestinalis	0	1	0.073824	0.0	0.0	0.0
MSBT3050	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Intestiviridae|g__Jahgtovirus|s__Jahgtovirus_intestinalis	0	1	0.072792	0.0	0.0	0.0
MSBT3047	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Intestiviridae|g__Drivevirus|s__Drivevirus_gastrointestinalis	0	1	0.069159	0.0	0.0	0.0
MSBT3060	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Intestiviridae|g__Wotdevirus|s__Wotdevirus_murinus	0	1	0.065622	0.0	0.0	0.0
MSBT3053	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Steigviridae|g__Kahnovirus|s__Kahnovirus_copri	0	1	0.082172	0.0	0.0	0.0
MSBT2901	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Steigviridae|g__Wulfhauvirus|s__Bacteroides_phage_DAC17	0	1	0.086063	0.0	0.0	0.0
MSBT3055	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Steigviridae|g__Kolpuevirus|s__Kolpuevirus_coli	0	1	0.084162	0.0	0.0	0.0
MSBT3056	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Steigviridae|g__Lebriduvirus|s__Lebriduvirus_gastrointestinalis	0	1	0.090806	0.0	0.0	0.0
MSBT3054	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Crevaviridae|g__Kingevirus|s__Kingevirus_communis	0	1	0.069866	0.0	0.0	0.0
MSBT3052	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Crevaviridae|g__Junduvirus|s__Junduvirus_copri	0	1	0.070484	0.0	0.0	0.0
MSBT3051	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Crevaviridae|g__Junduvirus|s__Junduvirus_communis	0	1	0.072359	0.0	0.0	0.0
MSBT2998	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Mincapvirus|s__Haloarcula_virus_HCTV_6	0	1	0.055881	0.0	0.0	0.0
MSBT3003	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Mincapvirus|s__Halorubrum_virus_HRTV_11	0	1	0.055302	0.0	0.0	0.0
MSBT2988	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Mincapvirus|s__Halorubrum_tailed_phage_7	0	1	0.052862	0.0	0.0	0.0
MSBT2996	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Mincapvirus|s__Haloarcula_virus_HCTV_15	0	1	0.055873	0.0	0.0	0.0
MSBT3008	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Mincapvirus|s__Halorubrum_virus_HRTV_2	0	1	0.053123	0.0	0.0	0.0
