# report v0.1.0 (Apr 13, 2023)
# Database: MetaSBT-Viruses
# Timestamp: 2023-04-17 15:13:36
# Cluster	Lineage	MAGs	Reference genomes	Bloom Filter Density	Mean completeness	Mean contamination	Mean strain heterogeneity
MSBT827	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Methanobavirales|f__Leisingerviridae|g__Psimunavirus|s__Methanothermobacter_phage_psiM100	0	1	0.084528	na	na	na
MSBT3032	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Suoliviridae|g__Birpovirus|s__Birpovirus_hominis	0	1	0.157169	na	na	na
MSBT3043	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Suoliviridae|g__Culoivirus|s__Culoivirus_faecalis	0	1	0.157244	na	na	na
MSBT3033	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Suoliviridae|g__Blohavirus|s__Blohavirus_faecalis	0	1	0.159952	na	na	na
MSBT3039	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Suoliviridae|g__Canhaevirus|s__Canhaevirus_faecalis	0	1	0.160979	na	na	na
MSBT3036	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Suoliviridae|g__Buchavirus|s__Buchavirus_intestinalis	0	1	0.161719	na	na	na
MSBT3035	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Suoliviridae|g__Buchavirus|s__Buchavirus_hiberniae	0	1	0.165837	na	na	na
MSBT3037	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Suoliviridae|g__Buchavirus|s__Buchavirus_oralis	0	1	0.162288	na	na	na
MSBT3034	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Suoliviridae|g__Bohxovirus|s__Bohxovirus_oralis	0	1	0.161848	na	na	na
MSBT3038	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Suoliviridae|g__Burzaovirus|s__Burzaovirus_intestinihominis	0	1	0.181941	na	na	na
MSBT3042	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Suoliviridae|g__Cohcovirus|s__Cohcovirus_splanchnicus	0	1	0.159287	na	na	na
MSBT3031	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Suoliviridae|g__Aurodevirus|s__Aurodevirus_hiberniae	0	1	0.157112	na	na	na
MSBT3029	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Suoliviridae|g__Afonbuvirus|s__Afonbuvirus_coli	0	1	0.150544	na	na	na
MSBT3030	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Suoliviridae|g__Afonbuvirus|s__Afonbuvirus_intestinihominis	0	1	0.148223	na	na	na
MSBT3048	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Intestiviridae|g__Endlipuvirus|s__Endlipuvirus_intestinihominis	0	1	0.110774	na	na	na
MSBT3044	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Intestiviridae|g__Dabirmavirus|s__Dabirmavirus_hominis	0	1	0.116282	na	na	na
MSBT3059	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Intestiviridae|g__Whopevirus|s__Whopevirus_animalis	0	1	0.125984	na	na	na
MSBT3040	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Intestiviridae|g__Carjivirus|s__Carjivirus_communis	0	1	0.12524	na	na	na
MSBT3041	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Intestiviridae|g__Carjivirus|s__Carjivirus_hominis	0	1	0.126513	na	na	na
MSBT3046	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Intestiviridae|g__Diorhovirus|s__Diorhovirus_copri	0	1	0.142614	na	na	na
MSBT3045	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Intestiviridae|g__Delmidovirus|s__Delmidovirus_copri	0	1	0.138103	na	na	na
MSBT3049	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Intestiviridae|g__Jahgtovirus|s__Jahgtovirus_gastrointestinalis	0	1	0.143973	na	na	na
MSBT3050	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Intestiviridae|g__Jahgtovirus|s__Jahgtovirus_intestinalis	0	1	0.141888	na	na	na
MSBT3047	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Intestiviridae|g__Drivevirus|s__Drivevirus_gastrointestinalis	0	1	0.137788	na	na	na
MSBT3060	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Intestiviridae|g__Wotdevirus|s__Wotdevirus_murinus	0	1	0.130609	na	na	na
MSBT3053	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Steigviridae|g__Kahnovirus|s__Kahnovirus_copri	0	1	0.15107	na	na	na
MSBT2901	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Steigviridae|g__Wulfhauvirus|s__Bacteroides_phage_DAC17	0	1	0.151718	na	na	na
MSBT3055	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Steigviridae|g__Kolpuevirus|s__Kolpuevirus_coli	0	1	0.147883	na	na	na
MSBT3056	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Steigviridae|g__Lebriduvirus|s__Lebriduvirus_gastrointestinalis	0	1	0.154329	na	na	na
MSBT3054	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Crevaviridae|g__Kingevirus|s__Kingevirus_communis	0	1	0.13948	na	na	na
MSBT3052	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Crevaviridae|g__Junduvirus|s__Junduvirus_copri	0	1	0.138339	na	na	na
MSBT3051	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Crevaviridae|g__Junduvirus|s__Junduvirus_communis	0	1	0.148917	na	na	na
MSBT2998	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Mincapvirus|s__Haloarcula_virus_HCTV_6	0	1	0.134082	na	na	na
MSBT3003	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Mincapvirus|s__Halorubrum_virus_HRTV_11	0	1	0.132526	na	na	na
MSBT2988	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Mincapvirus|s__Halorubrum_tailed_phage_7	0	1	0.130942	na	na	na
MSBT2996	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Mincapvirus|s__Haloarcula_virus_HCTV_15	0	1	0.134093	na	na	na
MSBT3008	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Mincapvirus|s__Halorubrum_virus_HRTV_2	0	1	0.128173	na	na	na
MSBT3010	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Haloferacalesvirus|s__Halorubrum_virus_HRTV_21	0	1	0.144885	na	na	na
MSBT3007	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Haloferacalesvirus|s__Halorubrum_virus_HRTV_19	0	1	0.145844	na	na	na
MSBT3001	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Haloferacalesvirus|s__Haloarcula_virus_HJTV_3	0	1	0.144281	na	na	na
MSBT2958	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Haloferacalesvirus|s__Halorubrum_virus_VOLN27B	0	1	0.146728	na	na	na
MSBT2999	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Haloferacalesvirus|s__Haloarcula_virus_HCTV_8	0	1	0.143197	na	na	na
MSBT1784	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Haloferacalesvirus|s__Haloferacalesvirus_hv5	0	4	0.162503	na	na	na
MSBT3005	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Haloferacalesvirus|s__Halorubrum_virus_HRTV_16	0	1	0.145569	na	na	na
MSBT3011	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Haloferacalesvirus|s__Halorubrum_virus_HRTV_22	0	1	0.145665	na	na	na
