# report v0.1.2 (May 25, 2023)
# Database: /mnt/isilon/w_gmi/blanked2lab/cumbof/MetaSBT-Databases/MetaSBT-Viruses
# Timestamp: 20240415
# Cluster	Lineage	MAGs	Reference genomes	Bloom Filter Density	Mean completeness	Mean contamination
MSBT5707	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Methanobavirales|f__Anaerodiviridae|g__Metforvirus|s__Metforvirus_Drs3	0	1	0.018855	na	na
MSBT188	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Methanobavirales|f__Leisingerviridae|g__Psimunavirus|s__Methanothermobacter_phage_psiM100	0	1	0.01584	na	na
MSBT43	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Methanobavirales|f__Leisingerviridae|g__Psimunavirus|s__Psimunavirus_psiM2	0	1	0.013704	na	na
MSBT2677	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Kirjokansivirales|f__Graaviviridae|g__Beejeyvirus|s__Beejeyvirus_BJ1	0	1	0.018399	na	na
MSBT3843	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Kirjokansivirales|f__Graaviviridae|g__Seejivirus|s__Seejivirus_CGphi46	0	1	0.018233	na	na
MSBT5988	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Kirjokansivirales|f__Haloferuviridae|g__Retbasiphovirus|s__Retbasiphovirus_HFTV1	0	1	0.018683	na	na
MSBT7303	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Kirjokansivirales|f__Haloferuviridae|g__Dpdavirus|s__Dpdavirus_HRTV29	0	1	0.017063	na	na
MSBT3848	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Kirjokansivirales|f__Haloferuviridae|g__Saldibavirus|s__Saldibavirus_HRTV4	0	1	0.017074	na	na
MSBT3814	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Kirjokansivirales|f__Shortaselviridae|g__Lonfivirus|s__Lonfivirus_HSTV1	0	1	0.015496	na	na
MSBT7300	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Kirjokansivirales|f__Pyrstoviridae|g__Hatrivirus|s__Hatrivirus_HATV3	0	1	0.021323	na	na
MSBT6521	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Suoliviridae|g__Birpovirus|s__Birpovirus_hiberniae	0	4	0.075748	na	na
MSBT6511	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Suoliviridae|g__Canhaevirus|s__Canhaevirus_faecalis	0	4	0.074707	na	na
MSBT6510	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Suoliviridae|g__Canhaevirus|s__Canhaevirus_hiberniae	0	3	0.072062	na	na
MSBT6513	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Suoliviridae|g__Besingivirus|s__Besingivirus_coli	0	1	0.032586	na	na
MSBT6526	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Suoliviridae|g__Cacepaovirus|s__Cacepaovirus_simiae	0	1	0.039615	na	na
MSBT4940	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Suoliviridae|g__Dechshavirus|s__Dechshavirus_japanensis	0	4	0.073602	na	na
MSBT6527	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Suoliviridae|g__Buhlduvirus|s__Buhlduvirus_animalis	0	2	0.06544	na	na
MSBT6520	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Suoliviridae|g__Buchavirus|s__Buchavirus_coli	0	8	0.105893	na	na
MSBT7310	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Suoliviridae|g__Bohxovirus|s__Bohxovirus_oralis	0	1	0.038714	na	na
MSBT6524	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Crassvirales|f__Suoliviridae|g__Burzaovirus|s__Burzaovirus_coli	0	3	0.072969	na	na
