# get_ncbi_genomes v0.1.0 (Apr 20, 2023)
# timestamp 2023-04-25 14:19:39.359727
# id	type	taxonomy	excluded_from_refseq	url
GCA_002823165.1_ASM282316v1_genomic	mag	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Geminiviridae|g__Begomovirus|s__Potato_yellow_mosaic_virus	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/823/165/GCA_002823165.1_ASM282316v1/GCA_002823165.1_ASM282316v1_genomic.fna.gz
GCA_002823185.1_ASM282318v1_genomic	mag	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Geminiviridae|g__Begomovirus|s__Potato_yellow_mosaic_virus	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/823/185/GCA_002823185.1_ASM282318v1/GCA_002823185.1_ASM282318v1_genomic.fna.gz
GCA_002822805.1_ASM282280v1_genomic	mag	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Geminiviridae|g__Begomovirus|s__Melon_chlorotic_leaf_curl_virus	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/822/805/GCA_002822805.1_ASM282280v1/GCA_002822805.1_ASM282280v1_genomic.fna.gz
GCA_013085995.1_ASM1308599v1_genomic	mag	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Chitovirales|f__Poxviridae|g__Capripoxvirus|s__Lumpy_skin_disease_virus	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/085/995/GCA_013085995.1_ASM1308599v1/GCA_013085995.1_ASM1308599v1_genomic.fna.gz
GCA_006451315.1_ASM645131v1_genomic	mag	k__Viruses|p__Nucleocytoviricota|c__Pokkesviricetes|o__Chitovirales|f__Poxviridae|g__Capripoxvirus|s__Sheeppox_virus	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/451/315/GCA_006451315.1_ASM645131v1/GCA_006451315.1_ASM645131v1_genomic.fna.gz
GCA_002823265.1_ASM282326v1_genomic	mag	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Geminiviridae|g__Begomovirus|s__Rhynchosia_golden_mosaic_virus	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/823/265/GCA_002823265.1_ASM282326v1/GCA_002823265.1_ASM282326v1_genomic.fna.gz
GCA_002823425.1_ASM282342v1_genomic	mag	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Geminiviridae|g__Begomovirus|s__Sida_micrantha_mosaic_virus	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/823/425/GCA_002823425.1_ASM282342v1/GCA_002823425.1_ASM282342v1_genomic.fna.gz
GCA_002823445.1_ASM282344v1_genomic	mag	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Geminiviridae|g__Begomovirus|s__Sida_micrantha_mosaic_virus	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/823/445/GCA_002823445.1_ASM282344v1/GCA_002823445.1_ASM282344v1_genomic.fna.gz
GCA_900079215.1_ToLCNDV_genomic	mag	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Geminiviridae|g__Begomovirus|s__Tomato_leaf_curl_New_Delhi_virus	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/079/215/GCA_900079215.1_ToLCNDV/GCA_900079215.1_ToLCNDV_genomic.fna.gz
GCA_900079275.1_ToLCNDV_genomic	mag	k__Viruses|p__Cressdnaviricota|c__Repensiviricetes|o__Geplafuvirales|f__Geminiviridae|g__Begomovirus|s__Tomato_leaf_curl_New_Delhi_virus	partial	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/079/275/GCA_900079275.1_ToLCNDV/GCA_900079275.1_ToLCNDV_genomic.fna.gz
